[2025-09-08 16:07:00] info: 	z2m: Logging to console, file (filename: log.log)
[2025-09-08 16:07:00] info: 	z2m: Starting Zigbee2MQTT version 1.40.1 (commit #403d3c0)
[2025-09-08 16:07:00] info: 	z2m: Starting zigbee-herdsman (0.57.3)
[2025-09-08 16:07:00] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2025-09-08 16:07:00] info: 	zh:zstack:znp: Serialport opened
[2025-09-08 16:07:17] info: 	zh:controller: Wrote coordinator backup to '/data/coordinator_backup.json'
[2025-09-08 16:07:17] info: 	z2m: zigbee-herdsman started (reset)
[2025-09-08 16:07:17] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20210708,"transportrev":2},"type":"zStack3x0"}'
[2025-09-08 16:07:17] info: 	z2m: Currently 0 devices are joined.
[2025-09-08 16:07:17] info: 	z2m: Zigbee: disabling joining new devices.
[2025-09-08 16:07:17] info: 	z2m: Connecting to MQTT server at mqtt://mosquitto.mosquitto.svc.cluster.local
[2025-09-08 16:07:17] info: 	z2m: Connected to MQTT server
[2025-09-08 16:07:17] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
